timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635362997280, 88.66, 100, XNAS, 88.89, 300, XNAS, 88.885, 2, XADF, 318154, 2.87022e+07, 90.2149, 200, 2, 500, 3, 1, 1, 0, 1, 0, 0
1635362997383, 88.66, 100, IEXG, 88.87, 200, XNAS, 88.88, 1, XADF, 318155, 2.87023e+07, 90.2149, 200, 2, 200, 1, 1, 1, 0, 1, 0, 1
1635363004773, 88.66, 200, XNAS, 88.84, 200, XNAS, 88.76, 1, XNAS, 318156, 2.87024e+07, 90.2149, 300, 2, 200, 1, 1, 0, 0, 1, 0, 0
1635363004773, 88.66, 200, XNAS, 88.83, 100, MEMX, 88.76, 100, XNAS, 318256, 2.87113e+07, 90.2144, 300, 2, 100, 1, 0, 1, 0, 1, 0, 0
1635363008378, 88.66, 100, XNAS, 88.83, 100, MEMX, 88.745, 1, XADF, 318257, 2.87114e+07, 90.2144, 200, 2, 100, 1, 1, 1, 1, 0, 0, 0
1635363011354, 88.66, 100, IEXG, 88.81, 100, XNAS, 88.735, 100, XADF, 318357, 2.87202e+07, 90.2139, 200, 2, 100, 1, 0, 1, 1, 0, 0, 0
1635363031621, 88.66, 200, XNAS, 88.82, 100, XNAS, 88.74, 4, EDGA, 318361, 2.87206e+07, 90.2139, 300, 2, 100, 1, 1, 0, 1, 0, 0, 0
1635363057045, 88.66, 200, XNAS, 88.82, 100, XNAS, 88.8, 1, MEMX, 318362, 2.87207e+07, 90.2139, 300, 2, 100, 1, 1, 0, 0, 1, 0, 0
1635363057047, 88.66, 100, IEXG, 88.82, 100, XNAS, 88.79, 5, XNAS, 318367, 2.87211e+07, 90.2139, 200, 2, 100, 1, 1, 0, 0, 1, 0, 0
1635363060079, 88.66, 100, XNAS, 88.81, 100, XNAS, 88.73, 1, XNAS, 318368, 2.87212e+07, 90.2139, 100, 1, 200, 2, 1, 0, 0, 0, 1, 0
1635363063445, 88.66, 100, XNAS, 88.8, 100, XNAS, 88.8, 100, XADF, 318468, 2.87301e+07, 90.2134, 100, 1, 100, 1, 0, 1, 0, 1, 0, 0
